Condition,Question,Answer,AddresseeCondition_Expected,Context_sentence,DM,Number,PSI_item,Item,PSI_type,JointCondition_Expected,Order,SpeakerCondition_Expected,TrialType,subjective,ImageFileName,Comments
Speaker,Shawna asks: Who is on the right?,Tom says: Tim is on the right,0,"Tim is going to the local dog park. He sees a friend, Tom, there talking to some other dog owners. Tom knows all the dog owners, but Tim doesn't.",Is Tim right?,11,right-of,Dog,locative,1,"""""From right to left, the dog owners are in this order: Shawna, Tim, Tom, Jerri, and Paula.""""",0,test,1,right-of_dog_2.png,
Speaker,Ellis asks: Who is in the back?,Mac says: John is in the back.,0,"Mac is standing in line at a bookstore. She sees several friends in line as well. One of her friends, Dot, doesn't know anyone in line but Mac.",Is Mac right?,12,in the back,books,locative,1,"""""From front to back, the people in line are in this order: Ellis, John, Mac, Dot, Finch.""""",0,test,1,in-back_books_2.png,??
Speaker,Toni asks: Who is in the front?,Lou says: Pete is in the front.,0,"Lou is at a concert with his high school class. He sees several friends at the concert as well. One of his friends, Pete, doesn't know anyone there but Lou.",Is Lou right?,13,in-front-of,concert,locative,1,"""""From front to back, the people in line are in this order: Harper, Addison, Lou, Pete, Toni.""""",0,test,1,in-front_concert_2.png,
Speaker,Karen asks: Who is next to her?,Hank says: Liz next to you.,0,"Hank is at the movies. He sits down and realizes he is surrounded by friends. He knows everyone, but his friend Anna is there and isn't acquainted with this friend group. She only knows Hank.",Is Hank right?,14,next-to,movies,locative,1,"""""From left to right, the friends are sitting in this order: Liz, Karen, Hank, AnnaBess""""",0,test,1,next-to_movies_2.png,???
Speaker,Yoshi asks: Who is to the north?,Kris says: Juan is to the north.,0,A group of friends is playing a game of hide and seek. Kris knows the placement of everyone. They are set up according to the following diagram.,Is Kris right?,15,north,car,locative,1,"""""North to South: Paul, Daniel, Kris, Juan, Yoshi.""""",0,test,0,north_car_2.png,
Speaker,Charlotte asks: Who is to the south?,Christina says: Dine is to the south,0,A group of friends is playing paintball. Christina is knows where everyone is. They are set up according to the following diagram.,Is Christina right?,16,south,train,locative,1,"""""North to South: Charlotte, Dine, Christina, Willie, Lindsey.""""",0,test,0,south_train_2.png,
Speaker,Steve asks: Who is to the east?,Danielle says: Rae is to the east.,0,A group of friends is playing capture the flag. Danielle knows where everyone is. They are set up according to the following diagram.,Is Danielle right?,17,east,bike,locative,1,"""""East to West: Luciano, Layla, Danielle, Rae, Steve.""""",0,test,0,east_bike_2.png,
Speaker,Mellie asks: Who is to the west?,Tecua says: Sarah is to the west.,0,A group of friends is playing manhunt. Tecua knows where everyone is. They are set up according to the following diagram.,Is Tecua right?,18,west,bus,locative,1,"""""East to West: Mellie, Sarah, Tecua, Tara, Charlotte.""""",0,test,0,west_bus_2.png,
Addressee,Su asks: Who is on the left?,Jo says: Jan is on the left.,0,"Jo is hosting a party for friends out of town. Jo knows everybody, but nobody else knows each other.",Is Jo right?,19,left-of,party,locative,1,"""""From left to right, the friends are standing in this order: Su is leftmost, then Jan, then Jo, Mary, then Tom on the right.""""",0,test,1,left-of_party_3.png,
Addressee,"Paula asks: Who is on the right?""",Tom says: Jerri is on the right,0,"Tim is going to the local dog park. He sees a friend, Tom, there talking to some other dog owners. Tom knows all the dog owners, but Tim doesn't.",Is Tim right?,20,right-of,Dog,locative,1,"""""From right to left, the dog owners are in this order: Shawna, Tim, Tom, Jerri, Paula.""""",0,test,1,right-of_dog_3.png,
Addressee,Finch asks: Who is in the back?,Mac says: Dot is in the back,0,"Mac is standing in line at a bookstore. She sees several friends in line as well. One of her friends, Dot, doesn't know anyone in line but Mac.",Is Mac right?,21,in the back,books,locative,1,"""""From front to back, the people in line are in this order: Ellis, John, Mac, Dot, Finch.""""",0,test,1,in-back_books_3.png,
Addressee,Harper asks: Who is in the front?,Lou says: Addison is in the front.,0,"Lou is at a concert with his high school class. He sees several friends at the concert as well. One of his friends, Pete, doesn't know anyone there but Lou.",Is Lou right?,22,in-front-of,concert,locative,1,"""""From front to back, the people in line are in this order: Harper, Addison, Lou, Pete, Toni.""""",0,test,1,in-front_concert_3.png,
Addressee,Liz asks: Who is next to Anna?,Hank says: Anna is next to Gilbert.,0,"Hank is at the movies. He sits down and realizes he is surrounded by friends. He knows everyone, but his friend Anna is there and isn't acquainted with this friend group. She only knows Hank.",Is Hank right?,23,next-to,movies,locative,1,"""""From left to right, the friends are sitting in this order: Liz, Karen, Hank, Anna, Bess.""""",0,test,1,next-to_movies_3.png,???wrong name in response
Addressee,Paul asks: Who is to the north?,Kris says: Daniel is to the north.,0,A group of friends is playing a game of hide and seek. Kris knows the placement of everyone. They are set up according to the following diagram.,Is Kris right?,24,north,car,locative,1,"""""North to South: Paul, Daniel, Kris, Juan, Yoshi.""""",0,test,0,north_car_3.png,
Addressee,Lindsey asks: Who is to the south?,Christina says: Willie is to the south.,0,A group of friends is playing paintball. Christina is knows where everyone is. They are set up according to the following diagram.,Is Christina right?,25,south,train,locative,1,"""""North to South: Charlotte, Dine, Christina, Willie, Lindsey.""""",0,test,0,south_train_3.png,
Addressee,Luciano asks: Who is to the east?,Danielle says: Layla is to the east.,0,A group of friends is playing capture the flag. Danielle knows where everyone is. They are set up according to the following diagram.,Is Danielle right?,26,east,bike,locative,1,"""""East to West: Luciano, Layla, Danielle, Rae, Steve.""""",0,test,0,east_bike_3.png,
Addressee,Charlotte asks: Who is to the west?,Tecua says: Tara is to the west.,0,A group of friends is playing manhunt. Tecua knows where everyone is. They are set up according to the following diagram.,Is Tecua right?,28,west,bus,locative,1,"""""East to West: Mellie, Sarah, Tecua, Tara, Charlotte.""""",0,test,0,west_bus_3.png,
